image_directory,part0_x,part0_y,part1_x,part1_y,part2_x,part2_y,part3_x,part3_y,part4_x,part4_y,part5_x,part5_y,part6_x,part6_y,part7_x,part7_y,part8_x,part8_y,part9_x,part9_y,part10_x,part10_y,part11_x,part11_y,part12_x,part12_y,part13_x,part13_y,part14_x,part14_y,part15_x,part15_y,part16_x,part16_y,part17_x,part17_y,part18_x,part18_y,part19_x,part19_y,part20_x,part20_y,part21_x,part21_y,part22_x,part22_y
ABOQZLHH/ABOQZLHH_f000053.jpg,423.4222954623,42.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,475.6225589669,49.0595690748,-1.0,-1.0,431.4609428053,73.09252218,476.6190455721,50.0633713561,-1.0,-1.0,401.3344605919,103.1381495564,-1.0,-1.0,385.3941883038,117.1812420786,-1.0,-1.0,424.2012310634,136.8926981533,346.1517640613,125.1191381496,-1.0,-1.0,269.274014231,167.2027883397,-1.0,-1.0,373.2606793007,151.1977186312,-1.0,-1.0,279.0,178.0,262.0,168.0,263.0,174.0,267.0,178.0
ABOQZLHH/ABOQZLHH_f000054.jpg,424.5203761945,42.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,477.6225589669,47.0595690748,-1.0,-1.0,431.4609428053,73.09252218,477.3020590275,48.0143309901,-1.0,-1.0,406.9456893331,96.8439073598,-1.0,-1.0,379.1717308214,117.886999882,-1.0,-1.0,410.8724966873,143.2062013293,350.0525920361,115.4292739567,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,376.9927331221,152.099637899,-1.0,-1.0,277.7797856947,177.1800439916,263.3098832047,164.973703982,262.6268697493,170.4378116249,262.6268697493,175.2189058124
ABOQZLHH/ABOQZLHH_f000057.jpg,420.4222954623,42.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,477.6225589669,47.0595690748,-1.0,-1.0,431.4609428053,73.09252218,476.6190455721,50.0633713561,-1.0,-1.0,415.3344605919,97.1381495564,-1.0,-1.0,393.3941883038,122.1812420786,-1.0,-1.0,445.4574294105,133.1571609632,346.1517640613,125.1191381496,-1.0,-1.0,268.926906793,170.2027883397,-1.0,-1.0,372.2606793007,149.1977186312,-1.0,-1.0,278.0,180.0,264.0,168.0,263.0,171.0,264.0,175.0
ABOQZLHH/ABOQZLHH_f000058.jpg,420.4222954623,42.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,477.6225589669,47.0595690748,-1.0,-1.0,431.4609428053,73.09252218,476.6190455721,50.0633713561,-1.0,-1.0,415.3344605919,97.1381495564,-1.0,-1.0,393.3941883038,122.1812420786,-1.0,-1.0,445.4574294105,133.1571609632,346.1517640613,125.1191381496,-1.0,-1.0,268.926906793,170.2027883397,-1.0,-1.0,372.2606793007,149.1977186312,-1.0,-1.0,278.0,180.0,264.0,168.0,263.0,171.0,264.0,175.0
ABOQZLHH/ABOQZLHH_f000059.jpg,423.4222954623,39.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,477.6225589669,47.0595690748,-1.0,-1.0,431.4609428053,73.09252218,476.6190455721,50.0633713561,-1.0,-1.0,412.3344605919,97.1381495564,-1.0,-1.0,386.3941883038,119.1812420786,-1.0,-1.0,436.4574294105,134.1571609632,337.1517640613,127.1191381496,-1.0,-1.0,268.926906793,167.2027883397,-1.0,-1.0,374.2606793007,156.1977186312,-1.0,-1.0,275.0,176.0,263.0,164.0,262.0,169.0,263.0,174.0
ABOQZLHH/ABOQZLHH_f000062.jpg,423.4222954623,39.0532319392,-1.0,-1.0,446.5136437276,43.0544993663,477.6225589669,47.0595690748,-1.0,-1.0,431.4609428053,73.09252218,476.6190455721,50.0633713561,-1.0,-1.0,412.3344605919,97.1381495564,-1.0,-1.0,386.3941883038,119.1812420786,-1.0,-1.0,436.4574294105,134.1571609632,337.1517640613,127.1191381496,-1.0,-1.0,268.926906793,167.2027883397,-1.0,-1.0,374.2606793007,156.1977186312,-1.0,-1.0,275.0,176.0,263.0,164.0,262.0,169.0,263.0,174.0
AHBAELHH/AHBAELHH_f000008.jpg,267.951655927,167.6626147383,-1.0,-1.0,290.6987100034,166.50598487,319.2289134211,208.1446601284,-1.0,-1.0,261.0118767173,183.4698896049,318.0722835529,209.3012899966,-1.0,-1.0,212.8189655386,169.9758744748,-1.0,-1.0,183.9032188314,167.2770714488,-1.0,-1.0,205.4936430394,192.3373852617,-1.0,-1.0,95.9993488414,230.8917142047,92.5294592366,202.7470540763,-1.0,-1.0,-1.0,-1.0,90.9872860789,237.0604068356,80.9631605537,186.1686926309,91.7583726577,214.6988960487,87.1318531846,213.9278094698,83.6619635797,213.9278094698
AHBAELHH/AHBAELHH_f000009.jpg,300.6060606061,72.6457399103,486.4646464646,93.6322869955,100.202020202,132.3766816143,247.2727272727,277.668161435,572.1212121212,251.8385650224,98.5858585859,280.8968609865,247.2727272727,285.7399103139,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
ALHMRLHH/ALHMRLHH_f000029.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.9164416398,226.2058623532,282.6023009253,216.6266124958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.8673096116,230.5061709153,280.2264414225,235.6202109346,259.4697035596,230.5061709153,276.6232092304,246.1911893843,-1.0,-1.0,286.9429888747,242.4373859806,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.4520948897,260.1304279482,246.7467750084,261.3496340696,258.5491103804,272.6694502539,253.9177660921,264.200181848,253.1446518626,264.9732960775,252.8549874828,266.3257390665
ALHMRLHH/ALHMRLHH_f000030.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.9164416398,226.2058623532,282.6023009253,216.6266124958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.8673096116,230.5061709153,280.2264414225,235.6202109346,259.4697035596,230.5061709153,276.6232092304,246.1911893843,-1.0,-1.0,286.9429888747,242.4373859806,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.4520948897,260.1304279482,246.7467750084,261.3496340696,258.5491103804,272.6694502539,253.9177660921,264.200181848,253.1446518626,264.9732960775,252.8549874828,266.3257390665
ALHMRLHH/ALHMRLHH_f000031.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.9164416398,226.2058623532,282.6023009253,216.6266124958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.8673096116,230.5061709153,280.2264414225,235.6202109346,259.4697035596,230.5061709153,276.6232092304,246.1911893843,-1.0,-1.0,286.9429888747,242.4373859806,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.4520948897,260.1304279482,246.7467750084,261.3496340696,258.5491103804,272.6694502539,253.9177660921,264.200181848,253.1446518626,264.9732960775,252.8549874828,266.3257390665
ALHMRLHH/ALHMRLHH_f000032.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.9164416398,226.2058623532,282.6023009253,216.6266124958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.8673096116,230.5061709153,280.2264414225,235.6202109346,259.4697035596,230.5061709153,276.6232092304,246.1911893843,-1.0,-1.0,286.9429888747,242.4373859806,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.4520948897,260.1304279482,246.7467750084,261.3496340696,258.5491103804,272.6694502539,253.9177660921,264.200181848,253.1446518626,264.9732960775,252.8549874828,266.3257390665
ALHMRLHH/ALHMRLHH_f000034.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.9164416398,226.2058623532,282.6023009253,216.6266124958,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.8673096116,230.5061709153,280.2264414225,235.6202109346,259.4697035596,230.5061709153,276.6232092304,246.1911893843,-1.0,-1.0,286.9429888747,242.4373859806,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.4520948897,260.1304279482,246.7467750084,261.3496340696,258.5491103804,272.6694502539,253.9177660921,264.200181848,253.1446518626,264.9732960775,252.8549874828,266.3257390665
ALHMRLHH/ALHMRLHH_f000035.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,282.0783698213,226.1441754269,283.6124243436,216.3875756564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.485621755,231.3158118231,279.8601752975,236.1676824056,259.3540405727,230.3827970627,277.0897166106,247.5907115249,-1.0,-1.0,286.6576868405,244.3651024278,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,274.8429364924,260.8398276008,247.6913560675,261.1722841565,258.9153765054,272.6694502539,254.2223452907,263.5910234507,253.530195152,264.7496809696,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000036.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,282.0783698213,226.1441754269,283.6124243436,216.3875756564,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,264.485621755,231.3158118231,279.8601752975,236.1676824056,259.3540405727,230.3827970627,277.0897166106,247.5907115249,-1.0,-1.0,286.6576868405,244.3651024278,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,274.8429364924,260.8398276008,247.6913560675,261.1722841565,258.9153765054,272.6694502539,254.2223452907,263.5910234507,253.530195152,264.7496809696,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000039.jpg,273.569966496,224.7593806206,271.1966342337,217.8868415582,281.1453550609,224.278145906,282.1802466864,216.1263315234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,265.2460287848,231.9316015649,277.5276383965,235.2346676452,-1.0,-1.0,276.0587353003,246.7556633144,-1.0,-1.0,286.6810122095,244.3651024278,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,278.4257131725,258.97379808,247.0,260.0,261.2479134065,270.9760284637,254.688852671,262.6580086902,253.530195152,263.8166662092,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000040.jpg,273.0054925659,227.0172763408,271.1966342337,217.8868415582,281.1453550609,224.278145906,282.7447206165,218.4971220297,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,277.5276383965,235.2346676452,-1.0,-1.0,276.6232092304,246.1911893843,-1.0,-1.0,283.8586425593,244.3651024278,-1.0,-1.0,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,275.7726857012,261.4574833722,246.731283879,260.7197719977,261.2479134065,272.6694502539,254.688852671,262.6580086902,253.530195152,263.8166662092,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000042.jpg,276.6543128114,222.0605775946,271.1966342337,217.8868415582,281.9164416398,225.8203190638,282.1802466864,216.1263315234,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,265.2460287848,231.9316015649,277.5276383965,235.2346676452,-1.0,-1.0,276.0587353003,246.7556633144,-1.0,-1.0,286.6810122095,244.3651024278,264.2396069007,245.956579266,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,278.4257131725,258.97379808,247.0,260.0,261.2479134065,270.9760284637,254.688852671,262.6580086902,253.530195152,263.8166662092,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000043.jpg,274.6016803385,222.0605775946,271.1966342337,217.8868415582,281.9164416398,225.8203190638,280.6407723317,219.2052802328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,265.2460287848,231.9316015649,277.5276383965,235.2346676452,-1.0,-1.0,276.0587353003,246.7556633144,-1.0,-1.0,286.6810122095,244.3651024278,264.2396069007,245.956579266,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,278.4257131725,258.97379808,247.0,260.0,261.2479134065,270.9760284637,254.688852671,262.6580086902,253.530195152,263.8166662092,253.2405307723,265.5546524876
ALHMRLHH/ALHMRLHH_f000044.jpg,274.6016803385,222.0605775946,271.1966342337,217.8868415582,281.9164416398,225.8203190638,280.6407723317,219.2052802328,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,265.2460287848,231.9316015649,277.5276383965,235.2346676452,-1.0,-1.0,276.0587353003,246.7556633144,-1.0,-1.0,286.6810122095,244.3651024278,264.2396069007,245.956579266,251.2991925792,262.625971993,256.7165033291,266.1339812471,-1.0,-1.0,278.4257131725,258.97379808,247.0,260.0,261.2479134065,270.9760284637,254.688852671,262.6580086902,253.530195152,263.8166662092,253.2405307723,265.5546524876
ANKUBPTD/ANKUBPTD_f000051.jpg,334.4505326094,289.4407587433,-1.0,-1.0,331.7975051381,296.0451037249,346.0786955685,302.2543169555,-1.0,-1.0,323.7255279384,302.2543169555,344.8368529224,304.1170809247,-1.0,-1.0,298.2677536929,288.5940478482,-1.0,-1.0,283.9865632626,297.286946371,-1.0,-1.0,262.8752382786,294.8032610788,263.2543169555,281.175621387,-1.0,-1.0,229.1036441872,274.4500934487,-1.0,-1.0,212.5806111108,270.5873294795,-1.0,-1.0,225.619958895,281.1429919715,215.9596897877,263.1362736028,176.8742758505,258.6525883105,140.0,260.0
ANKUBPTD/ANKUBPTD_f000052.jpg,334.4505326094,289.4407587433,-1.0,-1.0,331.7975051381,296.0451037249,346.0786955685,302.2543169555,-1.0,-1.0,323.7255279384,302.2543169555,344.8368529224,304.1170809247,-1.0,-1.0,298.2677536929,288.5940478482,-1.0,-1.0,283.9865632626,297.286946371,-1.0,-1.0,262.8752382786,294.8032610788,263.2543169555,281.175621387,-1.0,-1.0,229.1036441872,274.4500934487,-1.0,-1.0,212.5806111108,270.5873294795,-1.0,-1.0,225.619958895,281.1429919715,215.9596897877,263.1362736028,176.8742758505,258.6525883105,140.0,260.0
