image_directory,label
AAACXZTV/AAACXZTV_f000059.jpg,Bird
AAAUILHH/AAAUILHH_f000098.jpg,Amphibian
AAAUILHH/AAAUILHH_f000099.jpg,Amphibian
AAAUILHH/AAAUILHH_f000100.jpg,Amphibian
AAAUILHH/AAAUILHH_f000101.jpg,Amphibian
AAAUILHH/AAAUILHH_f000102.jpg,Amphibian
AAAUILHH/AAAUILHH_f000103.jpg,Amphibian
AAAUILHH/AAAUILHH_f000106.jpg,Amphibian
AAAUILHH/AAAUILHH_f000107.jpg,Amphibian
AAAUILHH/AAAUILHH_f000108.jpg,Amphibian
AAAUILHH/AAAUILHH_f000109.jpg,Amphibian
AAAUILHH/AAAUILHH_f000110.jpg,Amphibian
AAAUILHH/AAAUILHH_f000111.jpg,Amphibian
AAAUILHH/AAAUILHH_f000112.jpg,Amphibian
AAJYPNPL/AAJYPNPL_f000011.jpg,Mammal
AAJYPNPL/AAJYPNPL_f000012.jpg,Mammal
AAJYPNPL/AAJYPNPL_f000013.jpg,Mammal
AAJYPNPL/AAJYPNPL_f000014.jpg,Mammal
AAJYPNPL/AAJYPNPL_f000015.jpg,Mammal
AAKLZWUH/AAKLZWUH_f000014.jpg,Bird
AANVVUPH/AANVVUPH_f000002.jpg,Amphibian
AANVVUPH/AANVVUPH_f000003.jpg,Amphibian
AANVVUPH/AANVVUPH_f000004.jpg,Amphibian
AANVVUPH/AANVVUPH_f000005.jpg,Amphibian
AANVVUPH/AANVVUPH_f000006.jpg,Amphibian
AANVVUPH/AANVVUPH_f000007.jpg,Amphibian
AANVVUPH/AANVVUPH_f000011.jpg,Amphibian
AANVVUPH/AANVVUPH_f000012.jpg,Amphibian
AANVVUPH/AANVVUPH_f000013.jpg,Amphibian
AANVVUPH/AANVVUPH_f000014.jpg,Amphibian
AANVVUPH/AANVVUPH_f000015.jpg,Amphibian
AANVVUPH/AANVVUPH_f000016.jpg,Amphibian
AANVVUPH/AANVVUPH_f000017.jpg,Amphibian
AAQPAHFB/AAQPAHFB_f000140.jpg,Bird
AAQPAHFB/AAQPAHFB_f000141.jpg,Bird
AAQPAHFB/AAQPAHFB_f000142.jpg,Bird
AASDYJTR/AASDYJTR_f000015.jpg,Bird
AASDYJTR/AASDYJTR_f000016.jpg,Bird
AATWKNPL/AATWKNPL_f000029.jpg,Bird
AATWKNPL/AATWKNPL_f000030.jpg,Bird
AAUQSVYU/AAUQSVYU_f000077.jpg,Mammal
AAUQSVYU/AAUQSVYU_f000078.jpg,Mammal
AAUQSVYU/AAUQSVYU_f000079.jpg,Mammal
AAUQSVYU/AAUQSVYU_f000080.jpg,Mammal
AAUQSVYU/AAUQSVYU_f000081.jpg,Mammal
AAVNEICC/AAVNEICC_f000036.jpg,Amphibian
AAVNEICC/AAVNEICC_f000039.jpg,Amphibian
AAVNEICC/AAVNEICC_f000042.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000016.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000017.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000020.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000021.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000022.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000023.jpg,Amphibian
AAXVMCGB/AAXVMCGB_f000024.jpg,Amphibian
AAYCBRHB/AAYCBRHB_f000034.jpg,Bird
AAYCBRHB/AAYCBRHB_f000035.jpg,Bird
AAYLTNPL/AAYLTNPL_f000038.jpg,Mammal
AAYLTNPL/AAYLTNPL_f000039.jpg,Mammal
AAYLTNPL/AAYLTNPL_f000040.jpg,Mammal
AAYLTNPL/AAYLTNPL_f000041.jpg,Mammal
AAYLTNPL/AAYLTNPL_f000042.jpg,Mammal
AAYLTNPL/AAYLTNPL_f000043.jpg,Mammal
ABATBLHH/ABATBLHH_f000037.jpg,Amphibian
ABATBLHH/ABATBLHH_f000038.jpg,Amphibian
ABATBLHH/ABATBLHH_f000041.jpg,Amphibian
ABATBLHH/ABATBLHH_f000042.jpg,Amphibian
ABATBLHH/ABATBLHH_f000043.jpg,Amphibian
ABATBLHH/ABATBLHH_f000045.jpg,Amphibian
ABATBLHH/ABATBLHH_f000046.jpg,Amphibian
ABBCACCX/ABBCACCX_f000044.jpg,Mammal
ABGHPMGJ/ABGHPMGJ_f000020.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000021.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000022.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000023.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000024.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000025.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000026.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000027.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000028.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000029.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000030.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000031.jpg,Amphibian
ABGHPMGJ/ABGHPMGJ_f000032.jpg,Amphibian
ABGNAUZX/ABGNAUZX_f000043.jpg,Bird
ABGNAUZX/ABGNAUZX_f000044.jpg,Bird
ABJYRLSQ/ABJYRLSQ_f000034.jpg,Bird
ABKSHVEI/ABKSHVEI_f000005.jpg,Bird
ABKSHVEI/ABKSHVEI_f000006.jpg,Bird
ABNXQJVY/ABNXQJVY_f000023.jpg,Bird
ABUHYUFF/ABUHYUFF_f000094.jpg,Bird
ABUHYUFF/ABUHYUFF_f000095.jpg,Bird
ACFBCJIR/ACFBCJIR_f000034.jpg,Bird
ACFBCJIR/ACFBCJIR_f000128.jpg,Bird
ACFBCJIR/ACFBCJIR_f000242.jpg,Bird
ACFQUZAA/ACFQUZAA_f000036.jpg,Fish
ACFQUZAA/ACFQUZAA_f000037.jpg,Fish
ACFQUZAA/ACFQUZAA_f000038.jpg,Fish
ACFQUZAA/ACFQUZAA_f000039.jpg,Fish
ACFQUZAA/ACFQUZAA_f000040.jpg,Fish
ACFQUZAA/ACFQUZAA_f000041.jpg,Fish
ACFQUZAA/ACFQUZAA_f000045.jpg,Fish
ACFQUZAA/ACFQUZAA_f000046.jpg,Fish
ACFQUZAA/ACFQUZAA_f000048.jpg,Fish
ACFQUZAA/ACFQUZAA_f000049.jpg,Fish
ACHCJNPL/ACHCJNPL_f000040.jpg,Mammal
ACHCJNPL/ACHCJNPL_f000041.jpg,Mammal
ACHCJNPL/ACHCJNPL_f000042.jpg,Mammal
ACHCJNPL/ACHCJNPL_f000043.jpg,Mammal
ACHCJNPL/ACHCJNPL_f000044.jpg,Mammal
ACHCJNPL/ACHCJNPL_f000045.jpg,Mammal
ACIOMPKK/ACIOMPKK_f000018.jpg,Bird
ACIZEENW/ACIZEENW_f000035.jpg,Mammal
ACIZEENW/ACIZEENW_f000036.jpg,Mammal
ACRFBHGW/ACRFBHGW_f000018.jpg,Bird
ACRFBHGW/ACRFBHGW_f000019.jpg,Bird
ACYHKFNJ/ACYHKFNJ_f000021.jpg,Reptile
ACYHKFNJ/ACYHKFNJ_f000022.jpg,Reptile
ACYHKFNJ/ACYHKFNJ_f000023.jpg,Reptile
ACYHKFNJ/ACYHKFNJ_f000024.jpg,Reptile
ACYHKFNJ/ACYHKFNJ_f000025.jpg,Reptile
ACYHKFNJ/ACYHKFNJ_f000026.jpg,Reptile
ACZJMJIR/ACZJMJIR_f000030.jpg,Bird
ACZZJXQW/ACZZJXQW_f000285.jpg,Bird
ACZZJXQW/ACZZJXQW_f000287.jpg,Bird
ADCMXAYR/ADCMXAYR_f000042.jpg,Bird
ADCMXAYR/ADCMXAYR_f000044.jpg,Bird
ADDNDVMP/ADDNDVMP_f000030.jpg,Bird
ADDNDVMP/ADDNDVMP_f000031.jpg,Bird
ADDNDVMP/ADDNDVMP_f000032.jpg,Bird
ADGVZCPZ/ADGVZCPZ_f000013.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000014.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000015.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000016.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000017.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000018.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000020.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000021.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000022.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000023.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000024.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000025.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000026.jpg,Reptile
ADGVZCPZ/ADGVZCPZ_f000027.jpg,Reptile
ADMCXIFB/ADMCXIFB_f000000.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000001.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000002.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000003.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000004.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000005.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000006.jpg,Amphibian
ADMCXIFB/ADMCXIFB_f000007.jpg,Amphibian
ADMMBHFB/ADMMBHFB_f000017.jpg,Bird
ADMMBHFB/ADMMBHFB_f000018.jpg,Bird
ADMMBHFB/ADMMBHFB_f000019.jpg,Bird
ADOKPUFF/ADOKPUFF_f000042.jpg,Bird
ADVQEVMP/ADVQEVMP_f000021.jpg,Mammal
ADVQEVMP/ADVQEVMP_f000022.jpg,Mammal
ADVQEVMP/ADVQEVMP_f000023.jpg,Mammal
ADVQEVMP/ADVQEVMP_f000024.jpg,Mammal
ADVQEVMP/ADVQEVMP_f000025.jpg,Mammal
ADVQEVMP/ADVQEVMP_f000026.jpg,Mammal
ADXAJHDU/ADXAJHDU_f000020.jpg,Bird
ADXAJHDU/ADXAJHDU_f000021.jpg,Bird
AECBXXEN/AECBXXEN_f000038.jpg,Mammal
AECBXXEN/AECBXXEN_f000039.jpg,Mammal
AECBXXEN/AECBXXEN_f000040.jpg,Mammal
AEHRLGCS/AEHRLGCS_f000017.jpg,Mammal
AEHRLGCS/AEHRLGCS_f000018.jpg,Mammal
AEHRLGCS/AEHRLGCS_f000019.jpg,Mammal
